California	2011-07-30T07:29:33.343	32
Texas	2011-06-30T07:29:33.343	45
California	2011-05-30T07:29:33.343	21
New York	2011-05-30T07:25:33.343	20
New York	2011-07-30T06:29:33.343	10
Virginia	2011-02-30T07:23:33.343	15
Arizona	2011-06-30T04:29:33.343	47
Arizona	2011-05-30T07:21:33.343	22
Virginia	2011-04-30T07:29:33.343	9
California	2011-03-30T07:29:33.343	26
Texas	2011-07-30T06:29:33.343	21
Texas	2011-07-30T03:29:33.343	26
New York	2011-01-30T07:29:33.343	40
Texas	2011-07-30T07:29:35.343	35
Virginia	2011-07-30T07:29:33.343	34
Virginia	2011-05-30T07:29:33.343	17
New York	2011-02-30T07:25:33.343	28
California	2011-07-30T02:29:33.343	12
Texas	2011-07-30T07:29:33.343	25
